Time - Voltage_1;Amplitude - Voltage_1
0;-0.000221
0.001;0.000915
0.002;0.006586
0.003;0.00367
0.004;-0.000582
0.005;-0.004914
0.006;-0.001033
0.007;0.006425
0.008;-0.001133
0.009;-0.000962
0.01;0.000963
0.011;-0.000582
0.012;0.001269
0.013;-0.001123
0.014;0.004943
0.015;-0.000803
0.016;-0.006639
0.017;0.004781
0.018;-0.000813
0.019;-0.001886
0.02;-0.000401
0.021;3.99E-05
0.022;0.008213
0.023;0.004024
0.024;-0.000708
0.025;0.004121
0.026;0.012241
0.027;0.011049
0.028;0.005088
0.029;0.002526
0.03;0.000786
0.031;0.002977
0.032;-0.002979
0.033;-0.004022
0.034;0.000182
0.035;-0.000722
0.036;-0.003059
0.037;-0.007031
0.038;-0.003099
0.039;-0.004503
0.04;-0.001093
0.041;-0.000662
0.042;0.006006
0.043;0.007826
0.044;0.004733
0.045;0.008777
0.046;-0.002999
0.047;0.00549
0.048;0.001656
0.049;0.003219
0.05;7.71E-05
0.051;0.000995
0.052;-0.002678
0.053;-0.008274
0.054;-0.004162
0.055;-0.001404
0.056;-0.002517
0.057;-0.00674
0.058;-0.001495
0.059;-0.000482
0.06;0.00019
0.061;-0.000211
0.062;0.001463
0.063;0.005732
0.064;0.003541
0.065;0.001414
0.066;-0.005326
0.067;0.001591
0.068;-0.000361
0.069;-0.000191
0.07;0.000593
0.071;0.001978
0.072;0.004669
0.073;0.000254
0.074;0.006844
0.075;0.00172
0.076;-0.003691
0.077;-0.000722
0.078;-0.001284
0.079;-0.001314
0.08;6.00E-05
0.081;-0.000742
0.082;0.003041
0.083;0.001092
0.084;0.002236
0.085;0.004798
0.086;-0.003811
0.087;-0.00329
0.088;0.0023
0.089;0.000593
0.09;0.00085
0.091;0.002542
0.092;0.001769
0.093;-0.001866
0.094;0.002768
0.095;-0.002166
0.096;-0.008064
0.097;-0.002868
0.098;-0.001063
0.099;-0.00335
0.1;-0.000742
0.101;0.000335
0.102;0.003928
0.103;0.008245
0.104;0.00665
0.105;-0.001755
0.106;0.004137
0.107;0.002542
0.108;0.00512
0.109;0.001865
0.11;0.000464
0.111;0.000754
0.112;7.71E-05
0.113;0.001124
0.114;0.006538
0.115;-0.008876
0.116;-0.002929
0.117;-0.003099
0.118;0.001753
0.119;-0.001805
0.12;0.000786
0.121;-0.001073
0.122;0.009534
0.123;0.006231
0.124;0.002171
0.125;-0.001755
0.126;-0.001304
0.127;-0.000542
0.128;-0.000803
0.129;0.002606
0.13;-1.02E-05
0.131;0.000673
0.132;-0.000341
0.133;0.003058
0.134;-0.004293
0.135;-0.003621
0.136;-0.002247
0.137;0.00048
0.138;-0.003811
0.139;-0.000835
0.14;-0.001174
0.141;0.000931
0.142;-7.21E-05
0.143;0.001833
0.144;0.003589
0.145;0.005877
0.146;0.004959
0.147;0.0057
0.148;0.001769
0.149;0.003412
0.15;0.002832
0.151;0.003186
0.152;0.000564
0.153;-0.002247
0.154;-0.001605
0.155;-0.00353
0.156;-0.001003
0.157;-0.005787
0.158;-0.000803
0.159;-0.002798
0.16;5.00E-05
0.161;-0.000331
0.162;0.00694
0.163;0.002864
0.164;0.007907
0.165;0.007456
0.166;0.020667
0.167;0.016349
0.168;-0.000708
0.169;0.002945
0.17;-0.000341
0.171;-0.000581
0.172;-1.02E-05
0.173;0.000238
0.174;0.004685
0.175;0.004073
0.176;0.008245
0.177;0.005088
0.178;-0.001846
0.179;-1.02E-05
0.18;-0.000742
0.181;0.001817
0.182;0.001011
0.183;-5.03E-05
0.184;0.00338
0.185;0.00433
0.186;-0.005957
0.187;0.000721
0.188;0.000512
0.189;-0.002517
0.19;0.001543
0.191;0.000351
0.192;0.005249
0.193;-0.002096
0.194;0.006956
0.195;0.000309
0.196;-0.001133
0.197;0.00404
0.198;0.004218
0.199;-0.00335
0.2;0.000158
0.201;-0.001555
0.202;0.001205
0.203;0.007069
0.204;0.005039
0.205;0.005329
0.206;0.001382
0.207;0.002864
0.208;0.002043
0.209;0.003009
0.21;0.000705
0.211;0.003605
0.212;-0.002517
0.213;0.003396
0.214;-0.005586
0.215;-0.00685
0.216;-0.000752
0.217;-0.004764
0.218;-0.005125
0.219;-0.003009
0.22;-0.001023
0.221;0.001044
0.222;0.002445
0.223;0.009647
0.224;0.003831
0.225;0.003138
0.226;0.000979
0.227;-0.001404
0.228;0.006328
0.229;0.000593
0.23;0.003283
0.231;0.000673
0.232;-0.003711
0.233;-0.003159
0.234;-0.000962
0.235;-0.001234
0.236;8.01E-05
0.237;-0.001685
0.238;-0.001244
0.239;0.004508
0.24;-0.000835
0.241;0.000158
0.242;0.003831
0.243;0.004781
0.244;-0.003049
0.245;0.010211
0.246;0.000883
0.247;-0.001926
0.248;-0.000199
0.249;-0.000231
0.25;0.001366
0.251;0.000818
0.252;0.001076
0.253;-0.001825
0.254;-0.002528
0.255;-0.009508
0.256;0.011129
0.257;0.006022
0.258;-0.005697
0.259;-0.000833
0.26;-0.002487
0.261;-0.000708
0.262;0.001817
0.263;0.001994
0.264;0.003315
0.265;0.004169
0.266;0.003251
0.267;0.004733
0.268;0.002687
0.269;0.004185
0.27;0.00135
0.271;0.002349
0.272;-0.000121
0.273;-0.006369
0.274;0.007859
0.275;0.000945
0.276;-0.007131
0.277;-0.001795
0.278;-0.003189
0.279;-0.003831
0.28;-0.000582
0.281;-0.001324
0.282;0.004201
0.283;0.009148
0.284;-0.000321
0.285;-0.001274
0.286;0.012354
0.287;0.002768
0.288;-0.002618
0.289;0.003348
0.29;0.000528
0.291;0.000544
0.292;-0.001083
0.293;5.00E-05
0.294;-0.002728
0.295;-0.000512
0.296;-0.001043
0.297;-0.000401
0.298;0.002526
0.299;0.000399
0.3;-0.001254
0.301;-0.000401
0.302;0.002623
0.303;0.004475
0.304;-0.003711
0.305;0.004153
0.306;-0.000341
0.307;7.00E-05
0.308;-0.001093
0.309;0.000866
0.31;0.001108
0.311;0.002204
0.312;-0.001775
0.313;0.004218
0.314;0.0057
0.315;-0.005165
0.316;0.005813
0.317;0.008406
0.318;3.99E-05
0.319;-0.001936
0.32;-0.001444
0.321;-0.000692
0.322;0.004137
0.323;0.009663
0.324;0.002671
0.325;0.012064
0.326;0.009373
0.327;0.001366
0.328;0.003412
0.329;0.003605
0.33;0.001624
0.331;0.001672
0.332;-0.000121
0.333;-0.00332
0.334;0.002091
0.335;-0.001765
0.336;-0.002056
0.337;-0.003059
0.338;-0.001515
0.339;0.000738
0.34;-0.001835
0.341;0.002236
0.342;-5.03E-05
0.343;0.010469
0.344;0.00694
0.345;0.004475
0.346;-0.001184
0.347;0.017654
0.348;0.000625
0.349;-0.000341
0.35;0.002333
0.351;-9.04E-05
0.352;0.001269
0.353;-0.003651
0.354;-0.002046
0.355;0.007198
0.356;0.000431
0.357;-0.001234
0.358;0.000754
0.359;-0.000482
0.36;-0.002197
0.361;-0.000782
0.362;0.002961
0.363;0.010952
0.364;0.000174
0.365;0.010308
0.366;0.004765
0.367;0.000947
0.368;0.00396
0.369;3.99E-05
0.37;0.003621
0.371;0.000883
0.372;0.000399
0.373;-8.04E-05
0.374;-0.001936
0.375;-0.005566
0.376;-0.000431
0.377;-0.002848
0.378;0.001946
0.379;-0.002528
0.38;-0.001705
0.381;-0.000983
0.382;0.004282
0.383;0.005619
0.384;0.010436
0.385;0.01477
0.386;0.010066
0.387;0.005506
0.388;0.005571
0.389;0.001398
0.39;0.000122
0.391;0.000544
0.392;-1.80E-07
0.393;-0.003641
0.394;0.003058
0.395;0.012128
0.396;0.000945
0.397;7.00E-05
0.398;-0.001605
0.399;-0.002377
0.4;-0.000326
0.401;0.000109
0.402;0.005877
0.403;0.007391
0.404;-0.000742
0.405;-0.005356
0.406;-0.002758
0.407;0.004701
0.408;-0.002407
0.409;0.000496
0.41;-0.000141
0.411;0.003058
0.412;-0.001264
0.413;0.001898
0.414;0.00781
0.415;0.004411
0.416;-0.001926
0.417;-1.02E-05
0.418;-0.002427
0.419;-0.00329
0.42;0.000351
0.421;-0.000953
0.422;-0.000251
0.423;0.002461
0.424;0.008133
0.425;0.005539
0.426;0.007069
0.427;0.006795
0.428;0.001962
0.429;0.008938
0.43;-0.000326
0.431;0.002316
0.432;-0.000351
0.433;-0.003942
0.434;-0.002838
0.435;-0.008354
0.436;-0.00353
0.437;-0.006138
0.438;-0.004002
0.439;-0.002447
0.44;-0.000602
0.441;3.99E-05
0.442;0.000125
0.443;0.007553
0.444;0.002155
0.445;0.007649
0.446;-0.001434
0.447;0.01013
0.448;0.00433
0.449;0.004798
0.45;0.000947
0.451;0.001753
0.452;-4.03E-05
0.453;-0.002447
0.454;-0.005857
0.455;-0.005727
0.456;0.002542
0.457;-0.004914
0.458;0.00288
0.459;-0.000893
0.46;9.01E-05
0.461;-0.000662
0.462;0.00694
0.463;-0.001464
0.464;0.005619
0.465;0.006376
0.466;-0.000431
0.467;0.001881
0.468;-0.001384
0.469;7.71E-05
0.47;0.000415
0.471;0.002381
0.472;6.09E-05
0.473;-0.00351
0.474;0.010871
0.475;0.004862
0.476;0.002461
0.477;0.0052
0.478;0.00135
0.479;-0.001184
0.48;-0.000562
0.481;-0.000326
0.482;-0.000823
0.483;0.0023
0.484;-0.002417
0.485;0.004395
0.486;0.002059
0.487;-0.004212
0.488;0.014239
0.489;0.000512
0.49;0.002091
0.491;0.001334
0.492;-0.000261
0.493;-0.005556
0.494;-0.000542
0.495;-0.000371
0.496;-0.000231
0.497;-0.005657
0.498;-0.00332
0.499;-0.001464
