Time - Voltage_1;Amplitude - Voltage_1
0;-0.000298
0.001;-0.001512
0.002;-0.005063
0.003;0.002489
0.004;-0.001492
0.005;-0.002636
0.006;-0.004611
0.007;-0.014139
0.008;-0.002806
0.009;-0.002395
0.01;-0.000669
0.011;0.0007
0.012;0.008676
0.013;0.00331
0.014;0.006823
0.015;0.000765
0.016;-0.002565
0.017;0.006259
0.018;-8.41E-06
0.019;0.001345
0.02;0.000668
0.021;-0.000492
0.022;-0.00418
0.023;0.001264
0.024;-0.002946
0.025;-0.012534
0.026;-0.008282
0.027;-0.003107
0.028;-0.003628
0.029;-0.002555
0.03;-0.000349
0.031;-0.00054
0.032;0.005711
0.033;-0.00429
0.034;0.004132
0.035;0.010754
0.036;0.007032
0.037;-0.00064
0.038;0.005018
0.039;-0.000128
0.04;0.000781
0.041;8.83E-05
0.042;-0.00776
0.043;-0.000556
0.044;0.001071
0.045;-0.00416
0.046;-0.003328
0.047;-0.002866
0.048;0.000153
0.049;-0.006045
0.05;-0.00067
0.051;-0.000846
0.052;0.005614
0.053;0.000652
0.054;-0.00433
0.055;0.011318
0.056;7.21E-05
0.057;-0.001071
0.058;-0.000846
0.059;8.83E-05
0.06;0.000314
0.061;-0.000605
0.062;-0.003658
0.063;-0.002716
0.064;-0.000621
0.065;-0.003277
0.066;0.003907
0.067;0.003891
0.068;-0.006196
0.069;-0.000449
0.07;-0.002555
0.071;-0.00084
0.072;-0.000209
0.073;0.006436
0.074;0.007097
0.075;0.007773
0.076;0.001474
0.077;0.00099
0.078;0.006501
0.079;-0.001482
0.08;-0.0007
0.081;0.00207
0.082;-0.000469
0.083;-0.000218
0.084;0.000201
0.085;-0.003779
0.086;0.003182
0.087;0.000539
0.088;-0.004742
0.089;-0.004882
0.09;-0.001582
0.091;-0.002305
0.092;0.004567
0.093;0.005808
0.094;0.00497
0.095;-0.001753
0.096;0.001989
0.097;0.004197
0.098;0.000652
0.099;-3.80E-05
0.1;0.001522
0.101;-0.000469
0.102;0.005244
0.103;-0.002164
0.104;-0.005825
0.105;-0.006507
0.106;-0.005684
0.107;-0.000279
0.108;0.000813
0.109;-0.005714
0.11;-0.000279
0.111;-0.002495
0.112;0.006726
0.113;0.010673
0.114;0.002956
0.115;-0.000479
0.116;-0.003277
0.117;-0.005343
0.118;-0.001452
0.119;0.005067
0.12;-0.000605
0.121;0.000829
0.122;-0.000229
0.123;-0.001923
0.124;-0.005424
0.125;-0.004792
0.126;-0.003638
0.127;-0.002315
0.128;-0.010308
0.129;-0.001984
0.13;-0.001201
0.131;-0.002064
0.132;-0.002936
0.133;0.002199
0.134;0.008933
0.135;0.001297
0.136;0.007306
0.137;-0.000975
0.138;0.004132
0.139;-0.000443
0.14;0.003842
