Time - Voltage_1;Amplitude - Voltage_1
0;-0.00212
0.001;-0.002501
0.002;0.011415
0.003;0.010271
0.004;0.00207
0.005;-0.010103
0.006;-0.003915
0.007;0.004761
0.008;-0.003664
0.009;4.03E-05
0.01;0.000508
0.011;0.008144
0.012;-0.001959
0.013;-0.001899
0.014;0.01417
0.015;-0.004366
0.016;0.013332
0.017;0.006968
0.018;-0.001688
0.019;0.004664
0.02;-0.003283
0.021;-0.003133
0.022;0.002779
0.023;0.001845
0.024;-0.003574
0.025;0.001088
0.026;-0.002772
0.027;-0.003333
0.028;-0.003153
0.029;-0.00209
0.03;0.002103
0.031;0.00787
0.032;0.002457
0.033;-0.003584
0.034;-0.004176
0.035;-0.005048
0.036;0.007548
0.037;0.00837
0.038;-0.001167
0.039;0.001233
0.04;-0.001618
0.041;-0.006131
0.042;-0.001638
0.043;0.003343
0.044;-0.00552
0.045;-0.008939
0.046;-0.006432
0.047;0.00373
0.048;-0.00223
0.049;-0.0021
0.05;0.000733
0.051;0.007032
0.052;0.004116
0.053;0.009771
0.054;-0.00233
0.055;-0.00221
0.056;0.001571
0.057;0.000201
0.058;0.000312
0.059;0.00112
0.06;0.00315
0.061;-0.003143
0.062;0.001039
0.063;0.004455
0.064;-0.008568
0.065;-0.002421
0.066;-0.00205
0.067;-0.001578
0.068;-0.002782
0.069;0.000218
0.07;-0.002029
0.071;0.006501
0.072;0.005985
0.073;-0.000273
0.074;0.000169
0.075;-0.00228
0.076;0.000105
0.077;0.010367
0.078;0.001055
0.079;1.94E-05
0.08;0.003472
0.081;-0.001628
0.082;-0.005108
0.083;-0.002531
0.084;-0.002932
0.085;0.003794
0.086;-0.00558
0.087;-0.004386
0.088;-0.000273
0.089;-0.003032
0.09;-0.001829
0.091;0.00439
0.092;0.009868
0.093;0.006823
0.094;0.003698
0.095;0.001394
0.096;0.008321
0.097;-0.003303
0.098;-7.82E-05
0.099;0.00207
0.1;-0.002551
0.101;-0.001307
0.102;-0.007405
0.103;-0.002421
0.104;0.015185
0.105;0.004745
0.106;-0.001117
0.107;-0.008649
0.108;0.000312
0.109;-0.003494
0.11;0.003907
0.111;0.006275
0.112;0.000363
0.113;-0.004386
0.114;0.009111
0.115;-0.001759
0.116;-0.006773
0.117;-0.001177
0.118;-0.001678
0.119;0.003053
0.12;0.006662
0.121;-0.001648
0.122;-0.005469
0.123;-0.00553
0.124;-0.004226
0.125;-0.009321
0.126;-0.002461
0.127;-0.003574
0.128;-0.003183
0.129;0.000703
0.13;-0.001358
0.131;0.010625
0.132;0.005309
0.133;0.005067
0.134;0.014524
0.135;0.014186
0.136;0.002215
0.137;-0.00207
0.138;-0.001247
0.139;0.003053
0.14;-0.002721
0.141;-0.001989
0.142;-0.001438
0.143;0.006581
0.144;-0.005349
0.145;-0.004938
0.146;-0.006312
0.147;-0.005911
0.148;0.003021
0.149;-0.003454
0.15;0.003987
0.151;0.006597
0.152;0.003987
0.153;-0.006222
0.154;0.005985
0.155;0.009707
0.156;-0.004085
0.157;0.008692
0.158;-0.001658
0.159;0.002699
0.16;0.001571
0.161;-0.002842
0.162;-0.003293
0.163;0.005953
0.164;-0.002882
0.165;-0.00569
0.166;-0.000469
0.167;-0.003835
0.168;-0.001829
0.169;-0.003664
0.17;0.006307
0.171;0.008482
0.172;-0.002581
0.173;-0.002661
0.174;-0.001889
0.175;0.000701
0.176;-0.001358
0.177;0.005309
0.178;0.001716
0.179;0.000814
0.18;0.003214
0.181;-0.002952
0.182;-0.000371
0.183;-0.010534
0.184;-0.007796
0.185;-0.00576
0.186;-0.005058
0.187;0.004648
0.188;-0.006101
0.189;0.000427
0.19;-0.00213
0.191;0.003472
0.192;-0.003774
0.193;0.006162
0.194;0.010706
0.195;0.004519
