Time - Voltage_1;Amplitude - Voltage_1
0;-0.007706
0.001;-0.000273
0.002;0.00381
0.003;-0.007606
0.004;-0.001769
0.005;-0.00208
0.006;0.000749
0.007;0.0099
0.008;0.000312
0.009;0.005051
0.01;0.004455
0.011;0.000801
0.012;-0.001147
0.013;0.00054
0.014;0.001281
0.015;0.001925
0.016;-0.000371
0.017;-0.006873
0.018;0.004084
0.019;-0.002591
0.02;-0.003714
0.021;0.002538
0.022;-0.000469
0.023;-0.002571
0.024;-0.003694
0.025;-0.001117
0.026;0.000636
0.027;0.00613
0.028;-0.002411
0.029;0.000943
0.03;-0.002591
0.031;-0.003403
0.032;-0.000566
0.033;-0.001538
0.034;0.001925
0.035;0.001055
0.036;0.003198
0.037;0.000588
0.038;0.000524
0.039;-0.011066
0.04;-0.001307
0.041;-0.005991
0.042;0.003182
0.043;0.002989
0.044;-0.002471
0.045;-0.001227
0.046;0.002086
0.047;0.004551
0.048;0.008434
0.049;0.001651
0.05;-0.001307
0.051;0.001442
0.052;0.005744
0.053;0.000443
0.054;0.001603
0.055;-0.001919
0.056;0.006259
0.057;-0.003042
0.058;-0.00211
0.059;-0.001478
0.06;-0.004115
0.061;0.010174
0.062;0.009449
0.063;-0.002591
0.064;-0.002561
0.065;-0.001137
0.066;0.001023
0.067;-0.001618
0.068;-0.004466
0.069;0.014427
0.07;-0.00223
0.071;0.000975
0.072;-0.002009
0.073;0.001152
0.074;0.002425
0.075;0.002054
0.076;-0.001578
0.077;0.000427
0.078;0.013187
0.079;-0.006512
0.08;-0.006663
0.081;0.000878
0.082;-0.00562
0.083;-0.006653
0.084;-0.000566
0.085;-0.002631
0.086;0.00178
0.087;-0.003875
0.088;0.022354
0.089;0.003118
0.09;0.001635
0.091;0.001104
0.092;-0.003323
0.093;0.004777
0.094;-0.002491
0.095;0.002828
0.096;-0.001518
0.097;-0.002651
0.098;-0.007977
0.099;0.003891
0.1;-0.000566
0.101;-0.00571
0.102;-0.001458
0.103;-0.003945
0.104;-0.001237
0.105;-0.002912
0.106;0.004519
0.107;0.010174
0.108;0.00584
0.109;0.007242
0.11;0.000701
0.111;-0.00925
0.112;-0.006733
0.113;0.003472
0.114;0.001345
0.115;0.003456
0.116;-0.001548
0.117;2.42E-05
0.118;0.019164
0.119;-0.005349
0.12;-0.003975
0.121;-0.008578
0.122;0.007612
0.123;-0.002019
0.124;-0.003263
0.125;-0.00207
0.126;-0.000176
0.127;0.006356
0.128;-0.003945
0.129;0.003246
0.13;0.006597
0.131;-0.001428
0.132;0.003118
0.133;0.00025
0.134;0.000878
0.135;0.002538
0.136;0.002038
0.137;-0.003925
0.138;0.003698
0.139;0.003859
0.14;-0.005961
0.141;-0.009521
0.142;0.004777
0.143;-0.001408
0.144;-0.003514
0.145;-0.001368
0.146;0.003939
0.147;0.014685
0.148;-0.00553
0.149;0.003311
0.15;0.001136
0.151;0.007177
0.152;-0.003383
0.153;0.000363
0.154;0.00149
0.155;0.004132
0.156;0.002199
0.157;0.001539
0.158;0.012639
0.159;0.00054
0.16;-0.006121
0.161;-0.001117
0.162;0.02026
0.163;-0.007906
0.164;0.002248
0.165;-0.003564
0.166;0.007403
0.167;0.008966
0.168;-0.001257
0.169;0.002344
0.17;0.003053
0.171;0.000959
0.172;-0.004005
0.173;0.000508
0.174;0.002779
0.175;0.001555
0.176;0.002763
0.177;-0.004777
0.178;-0.004075
0.179;-0.004045
0.18;-0.007967
0.181;-0.008368
0.182;0.006291
0.183;-0.001037
0.184;-0.002792
0.185;-0.001378
0.186;0.000943
0.187;0.016038
0.188;-0.001187
0.189;0.00903
0.19;0.011109
0.191;-0.002872
0.192;0.000653
0.193;-0.001337
0.194;0.000653
0.195;0.002763
0.196;-0.001979
0.197;-0.002481
0.198;-0.009451
0.199;-0.007074
0.2;0.007387
0.201;-0.006663
0.202;-0.00568
0.203;-0.002862
0.204;-0.002411
0.205;-0.002481
0.206;0.008321
0.207;0.010222
0.208;-0.004978
0.209;-0.001047
0.21;0.006259
0.211;-0.001678
0.212;-0.003945
0.213;0.000443
0.214;0.00199
0.215;0.00344
0.216;-0.003664
0.217;-0.003383
0.218;-0.007014
0.219;0.00431
0.22;-0.002721
0.221;-0.009782
0.222;-0.005961
0.223;-0.003584
0.224;-0.00208
0.225;-0.003223
0.226;0.000991
0.227;0.003343
0.228;0.000733
0.229;-0.004005
0.23;0.006759
0.231;0.005244
0.232;-0.003825
0.233;0.00091
0.234;0.001523
0.235;0.001023
0.236;0.000798
0.237;-0.006342
0.238;-0.002782
0.239;-0.001979
0.24;-0.005439
0.241;-0.003454
0.242;0.007081
0.243;-0.001749
0.244;-0.002501
0.245;-0.001809
0.246;0.000975
0.247;0.008708
0.248;-0.00208
0.249;-0.000859
0.25;0.000215
0.251;0.002441
0.252;-0.001749
0.253;-0.00217
0.254;-0.000469
0.255;0.00323
0.256;-0.004597
0.257;-0.001147
0.258;0.000215
0.259;-0.003383
0.26;-0.003383
0.261;-0.004487
0.262;0.006678
0.263;-0.006633
0.264;-0.001538
0.265;-0.00219
0.266;0.003037
0.267;0.009224
0.268;0.002296
0.269;0.008354
0.27;0.000733
0.271;-0.001127
0.272;0.002586
0.273;0.000604
0.274;0.002393
0.275;0.00178
0.276;-0.001097
0.277;-0.00565
0.278;-0.004316
0.279;0.001893
0.28;0.000121
0.281;-0.007285
0.282;0.006887
0.283;-0.0021
0.284;-0.003644
0.285;0.000996
0.286;0.000508
0.287;0.006871
0.288;0.000201
0.289;0.007129
0.29;0.005695
0.291;0.00294
0.292;-0.002521
0.293;0.000117
0.294;0.003424
