Time - Voltage_1;Amplitude - Voltage_1
0;-0.000737
0.001;-0.000415
0.002;0.001503
0.003;-0.000656
0.004;-0.002957
0.005;0.000222
0.006;-0.000592
0.007;0.00089
0.008;0.005079
0.009;-0.000179
0.01;-0.001673
0.011;0.000901
0.012;-0.000911
0.013;0.003903
0.014;0.002292
0.015;0.002195
0.016;0.000312
0.017;-0.000125
0.018;0.001438
0.019;0.005627
0.02;0.000471
0.021;0.000964
0.022;0.003194
0.023;-3.85E-05
0.024;-0.002746
0.025;0.000694
0.026;0.002518
0.027;0.003049
0.028;-0.002957
0.029;-0.003358
0.03;-0.000199
0.031;-0.000299
0.032;0.00147
0.033;0.007512
0.034;-0.000769
0.035;0.000794
0.036;0.018323
0.037;-0.000624
0.038;0.001454
0.039;0.001341
0.04;0.000513
0.041;0.002904
0.042;-0.000237
0.043;0.00147
0.044;-0.002064
0.045;-0.003148
0.046;0.001905
0.047;0.006368
0.048;0.006046
0.049;-0.003519
0.05;0.000142
0.051;0.000232
0.052;-0.000946
0.053;0.002066
0.054;0.009123
0.055;-4.41E-05
0.056;-0.000469
0.057;-0.002355
0.058;0.000457
0.059;0.004338
0.06;-0.000991
0.061;0.004838
0.062;-0.002556
0.063;0.004
0.064;-0.002305
0.065;-0.009265
0.066;0.000142
0.067;0.004129
0.068;-0.003178
0.069;-0.002987
0.07;0.000383
0.071;-0.000189
0.072;0.002824
0.073;0.012184
0.074;0.003388
0.075;-0.003148
0.076;0.000363
0.077;0.001293
0.078;0.007141
0.079;0.000553
0.08;0.000198
0.081;0.000343
0.082;8.48E-05
0.083;0.001261
0.084;0.009574
0.085;0.002405
0.086;0.007367
0.087;0.007383
0.088;-0.003358
0.089;-0.00055
0.09;0.000583
0.091;-0.001312
0.092;0.00632
0.093;-0.000229
0.094;0.002453
0.095;0.000971
0.096;0.000844
0.097;0.010154
0.098;0.003001
0.099;0.001051
0.1;-0.000495
0.101;0.000633
0.102;-0.002034
0.103;0.008253
0.104;-0.004231
0.105;-0.006788
0.106;0.001454
0.107;0.017018
0.108;-0.007079
0.109;0.000152
0.11;-0.000229
0.111;0.000192
0.112;0.001696
0.113;0.00698
0.114;-0.001974
0.115;-0.00064
0.116;-0.001102
0.117;0.0006
0.118;0.006046
0.119;0.000874
0.12;0.000616
0.121;0.000391
0.122;0.004145
0.123;0.000423
0.124;0.00321
0.125;-0.001573
0.126;-0.001904
0.127;0.000423
0.128;0.000282
0.129;-0.001332
0.13;-0.000801
0.131;-0.001112
0.132;0.000794
0.133;0.00139
0.134;-0.000299
0.135;-0.000147
0.136;0.008656
0.137;0.000906
0.138;6.87E-05
0.139;0.001793
0.14;-0.000399
0.141;0.002582
0.142;-0.00402
0.143;-0.000228
0.144;-0.004281
0.145;-0.003779
0.146;-0.00048
0.147;-0.001573
0.148;0.000473
0.149;-0.002456
0.15;-0.000205
0.151;-0.000731
0.152;0.007528
0.153;0.001631
0.154;-0.001102
0.155;0.000714
0.156;0.00553
0.157;0.000353
0.158;0.000182
0.159;-0.000592
0.16;0.000407
0.161;0.003114
0.162;0.001938
0.163;-0.005334
0.164;-0.005484
