Time - sec;Amplitude - g
0;0.006094
0.001;0.012603
0.002;0.006143
0.003;0.002501
0.004;-0.007711
0.005;-0.00054
0.006;0.003951
0.007;0.001744
0.008;-0.000882
0.009;0.000391
0.01;0.003549
0.011;0.004258
0.012;-0.007009
0.013;0.005691
0.014;0.005095
0.015;0.000858
0.016;-0.004572
0.017;-0.00049
0.018;0.000684
0.019;-5.86E-05
0.02;0.000713
0.021;0.008511
0.022;0.006868
0.023;0.005724
0.024;-0.002877
0.025;0.004161
0.026;-0.00064
0.027;-6.86E-05
0.028;0.000924
0.029;0.003049
0.03;0.000403
0.031;-0.000334
0.032;-0.000753
0.033;0.000984
0.034;-0.00053
0.035;0.003806
0.036;0.000333
0.037;-0.001222
0.038;-0.000527
0.039;-2.85E-05
0.04;0.000235
0.041;0.001776
0.042;0.002953
0.043;0.001341
0.044;-0.000737
0.045;0.002888
0.046;0.001325
0.047;-0.00052
0.048;0.000633
0.049;0.000649
0.05;-0.002817
0.051;-0.001904
0.052;-0.003338
0.053;-0.000872
0.054;0.000994
0.055;0.000613
0.056;-1.85E-05
0.057;-0.00043
0.058;0.000653
0.059;-0.00063
0.06;0.001599
0.061;0.003613
0.062;0.000242
0.063;0.002018
0.064;0.007979
0.065;-0.002716
0.066;0.00458
0.067;0.000834
0.068;0.000858
0.069;0.000457
0.07;-0.006106
0.071;-0.001904
0.072;0.003597
0.073;-0.002927
0.074;0.005079
0.075;-0.003107
0.076;-0.001403
0.077;-0.00039
0.078;0.000513
0.079;0.001164
0.08;0.002147
0.081;0.003758
0.082;0.002872
0.083;-0.001382
0.084;-0.000125
0.085;-0.002285
0.086;-0.000147
0.087;-0.000882
0.088;0.002373
0.089;0.000804
0.09;-0.002696
0.091;-0.000147
0.092;-0.002285
0.093;0.000302
0.094;-0.010509
0.095;0.002501
0.096;-0.00388
0.097;0.000593
0.098;-0.002315
0.099;0.010074
0.1;-0.001864
0.101;0.000531
0.102;0.010348
0.103;0.002389
0.104;-0.002175
0.105;0.000393
0.106;0.005724
0.107;-0.000269
0.108;0.003629
0.109;-7.87E-05
0.11;-0.001884
0.111;-0.007069
0.112;0.000262
0.113;-0.000189
0.114;0.001825
0.115;-0.001954
0.116;-0.002064
0.117;0.000413
0.118;-0.001062
0.119;4.25E-06
0.12;0.002518
0.121;0.006658
0.122;-0.000139
0.123;0.004805
0.124;0.008688
0.125;-0.000139
0.126;0.002969
0.127;-0.00061
0.128;0.006143
0.129;0.000117
0.13;0.003661
0.131;2.04E-05
0.132;0.001277
0.133;-0.001232
0.134;0.00342
0.135;-0.000173
0.136;-0.002054
0.137;-0.000737
0.138;-0.000731
0.139;-0.000911
0.14;0.000858
0.141;0.000326
0.142;0.000834
0.143;0.001938
0.144;-0.00047
0.145;-0.000205
0.146;0.000326
0.147;-0.000979
0.148;0.000439
0.149;-0.003107
0.15;0.000593
0.151;0.006191
0.152;0.002002
0.153;0.001583
0.154;-0.000289
0.155;-0.000141
0.156;-0.001844
0.157;-0.000119
0.158;0.000874
0.159;0.009461
0.16;0.002485
0.161;0.000616
0.162;0.00785
0.163;0.003275
0.164;0.000407
0.165;0.0035
0.166;-0.000952
0.167;0.000504
0.168;0.000198
0.169;-0.004231
0.17;0.000583
0.171;-0.00037
0.172;0.000568
0.173;0.001664
0.174;0.000774
0.175;8.66E-05
0.176;-0.000911
0.177;-0.000149
0.178;0.00118
0.179;0.008414
0.18;0.000964
0.181;-0.001563
0.182;-0.0006
0.183;-0.00056
0.184;0.002421
0.185;-7.63E-05
0.186;0.000112
0.187;0.000391
0.188;-0.001001
0.189;-0.002265
0.19;-0.000961
0.191;0.006191
0.192;0.000784
0.193;0.006497
0.194;-0.004421
0.195;3.17E-05
0.196;-0.000309
0.197;-0.000149
0.198;0.002211
0.199;0.008511
0.2;0.000161
0.201;0.012281
0.202;0.000391
0.203;0.002437
0.204;-0.000689
0.205;0.000854
0.206;-0.000872
0.207;0.001486
0.208;-0.001894
0.209;0.000363
0.21;-0.00068
0.211;-0.005906
0.212;-0.001944
0.213;0.000202
0.214;3.65E-05
0.215;-0.001653
0.216;0.000954
0.217;-0.001021
0.218;0.00226
0.219;0.006497
0.22;0.003903
0.221;0.002936
0.222;8.48E-05
0.223;0.003243
0.224;0.004209
0.225;-0.00064
0.226;0.001374
0.227;0.00089
0.228;-0.002877
0.229;-0.003007
0.23;-0.001613
0.231;0.004016
0.232;-0.005294
0.233;-0.004381
0.234;0.00205
0.235;-0.000941
0.236;0.000393
0.237;-0.000309
0.238;0.000633
0.239;-0.001914
0.24;0.009381
0.241;0.008624
0.242;-0.0007
0.243;0.000323
0.244;0.002711
0.245;0.002018
0.246;-0.00064
0.247;0.002775
0.248;-0.000931
0.249;-0.000159
0.25;-0.005063
0.251;-0.005163
0.252;0.005756
0.253;-0.004211
0.254;6.87E-05
0.255;-0.00062
0.256;-0.00055
0.257;0.000633
0.258;0.00785
0.259;0.001164
0.26;0.008044
0.261;-0.002646
0.262;0.006932
0.263;0.000603
0.264;0.000503
0.265;0.001728
0.266;0.000874
0.267;0.005095
0.268;-0.000463
0.269;0.003919
0.27;-0.002837
0.271;-0.002165
0.272;0.000764
0.273;-0.002716
0.274;-0.002175
0.275;0.000383
0.276;-0.001112
0.277;0.002421
0.278;0.00574
0.279;0.0006
0.28;0.007528
0.281;0.000262
0.282;0.006239
0.283;0.000633
0.284;0.000694
0.285;0.001535
0.286;-0.000205
0.287;0.001567
0.288;-0.000254
0.289;-0.005986
0.29;-0.002105
0.291;0.000684
0.292;0.000714
0.293;0.000954
0.294;-0.002907
0.295;0.000262
0.296;-0.001453
0.297;0.006368
0.298;0.010267
0.299;0.007286
0.3;0.000552
0.301;-0.001523
0.302;-0.004973
0.303;0.000302
0.304;2.04E-05
0.305;0.001116
0.306;-0.000914
0.307;-0.000289
0.308;-0.003448
0.309;-0.006467
0.31;0.000874
0.311;0.004725
0.312;0.001889
0.313;-0.004502
0.314;-0.000801
0.315;1.16E-05
0.316;-0.0006
0.317;0.005031
0.318;0.007206
0.319;0.009155
0.32;0.010783
0.321;-0.000544
0.322;-0.000334
0.323;0.000834
0.324;-6.02E-05
0.325;-2.80E-05
0.326;0.003178
0.327;-0.001372
0.328;-0.00048
0.329;-0.002436
0.33;-0.00052
0.331;0.003404
0.332;-6.02E-05
0.333;-6.02E-05
0.334;-0.000891
0.335;0.000333
0.336;0.000593
0.337;0.007979
0.338;-0.000914
0.339;-0.001001
0.34;0.000764
0.341;0.000854
0.342;-0.000308
0.343;-0.000147
0.344;0.001535
0.345;-0.000157
0.346;0.00284
0.347;-0.000931
0.348;-0.002606
0.349;-0.005204
0.35;-0.006146
0.351;0.009123
0.352;0.00553
0.353;-0.002927
0.354;-0.00063
0.355;-0.000781
0.356;-0.000952
0.357;0.001519
0.358;0.006255
0.359;0.004515
0.36;-0.001473
0.361;-0.000881
0.362;0.001873
0.363;2.04E-05
0.364;-0.000721
0.365;0.000262
0.366;0.002195
0.367;0.000132
0.368;-0.001011
0.369;-0.00064
0.37;0.003001
0.371;-0.002004
0.372;-0.002456
0.373;-0.002115
0.374;0.000282
0.375;-0.000199
0.376;-5.86E-05
0.377;0.002582
0.378;-0.000761
0.379;-0.000592
0.38;0.002083
0.381;-0.003218
0.382;-0.001031
0.383;0.003243
0.384;0.000864
0.385;0.003452
0.386;0.004564
0.387;4.25E-06
0.388;0.007415
0.389;0.004531
0.39;0.000471
0.391;0.002115
0.392;0.006481
0.393;-0.002576
0.394;-0.000769
0.395;-0.001653
0.396;0.002888
0.397;0.003436
0.398;0.008865
0.399;0.001744
0.4;-0.000221
0.401;-0.000366
0.402;-0.002646
0.403;-0.000962
0.404;0.000939
0.405;1.26E-05
0.406;0.004016
0.407;0.000162
0.408;-0.000463
0.409;-0.00059
0.41;0.005128
0.411;-0.000527
0.412;-0.001202
0.413;-0.000817
0.414;-0.001001
0.415;-0.000705
0.416;0.004499
0.417;0.008301
0.418;0.000455
0.419;0.005224
0.42;-0.003148
0.421;0.001583
0.422;0.00168
0.423;-0.000711
0.424;0.000874
0.425;0.003243
0.426;0.000292
0.427;-0.001483
0.428;0.000964
0.429;-0.001834
0.43;0.008785
0.431;4.17E-05
0.432;-0.002907
0.433;0.000934
0.434;-0.0006
0.435;-0.000495
0.436;0.001776
0.437;0.006497
0.438;0.002179
0.439;-0.000289
0.44;0.005724
0.441;-0.000269
0.442;2.16E-05
0.443;-0.000334
0.444;0.00052
0.445;-0.000334
0.446;0.000282
0.447;0.006529
0.448;0.000375
0.449;-0.000382
0.45;0.001712
0.451;-0.002957
0.452;-0.001403
