Time - Voltage_1;Amplitude - Voltage_1
0;-0.002074
0.001;0.005289
0.002;-0.002646
0.003;-0.00408
0.004;-0.000921
0.005;-0.000169
0.006;0.000152
0.007;-0.00052
0.008;0.002598
0.009;0.010025
0.01;-0.001242
0.011;-0.000173
0.012;0.000543
0.013;-0.000781
0.014;0.003307
0.015;-0.000129
0.016;0.00284
0.017;-0.000871
0.018;0.000343
0.019;-0.003258
0.02;0.004515
0.021;-0.004832
0.022;0.010138
0.023;0.002018
0.024;-0.007179
0.025;0.000774
0.026;-0.000791
0.027;-0.000511
0.028;0.008463
0.029;0.005949
0.03;-0.00739
0.031;0.009316
0.032;0.006545
0.033;0.001793
0.034;-0.00062
0.035;0.000543
0.036;-0.000801
0.037;-0.000479
0.038;0.00458
0.039;-0.000872
0.04;-0.00047
0.041;0.008076
0.042;-0.00051
0.043;-0.005484
0.044;-0.002235
0.045;-0.000249
0.046;-0.0005
0.047;-0.0004
0.048;0.003049
0.049;0.000536
0.05;0.003307
0.051;0.000302
0.052;-0.001623
0.053;0.001615
0.054;-0.001262
0.055;0.001261
0.056;0.000764
0.057;0.003774
0.058;-0.000527
0.059;0.000761
0.06;-0.008704
0.061;-0.001302
0.062;-6.02E-05
0.063;0.003839
0.064;-0.001433
0.065;-0.003138
0.066;-0.00048
0.067;-0.000129
0.068;0.000964
0.069;0.005063
0.07;0.000584
0.071;0.013022
0.072;0.001889
0.073;0.013328
0.074;-0.000834
0.075;0.000623
0.076;0.000971
0.077;-0.000221
0.078;0.000162
0.079;0.000633
0.08;0.00669
0.081;-0.003699
0.082;0.005192
0.083;0.000955
0.084;0.003758
0.085;0.000858
0.086;-0.001844
0.087;0.000235
0.088;-0.000359
0.089;0.004741
0.09;-0.000592
0.091;0.003355
0.092;-1.19E-05
0.093;0.001519
0.094;0.001583
0.095;0.000955
0.096;0.001132
0.097;0.000724
0.098;0.00139
0.099;0.000616
0.1;0.00516
0.101;-0.001423
0.102;0.000503
0.103;-0.006929
0.104;-0.0006
0.105;0.000994
0.106;-0.001172
0.107;1.26E-05
0.108;8.18E-05
0.109;0.012265
0.11;-0.001282
0.111;0.000744
0.112;0.013135
0.113;0.006851
0.114;-9.24E-05
0.115;0.000864
0.116;0.000488
0.117;0.000814
0.118;3.65E-05
0.119;-0.005424
0.12;-0.000302
0.121;0.003146
0.122;-0.000741
0.123;-0.001864
0.124;-0.002696
0.125;-0.002666
0.126;-0.001021
0.127;-0.000349
0.128;0.000222
0.129;0.008253
0.13;0.001615
0.131;0.00313
0.132;0.004419
0.133;0.000605
0.134;-0.0006
0.135;0.005901
0.136;0.000971
0.137;-0.000689
0.138;0.002759
0.139;-0.001683
0.14;7.18E-05
0.141;-0.00038
0.142;-0.009446
0.143;-0.006758
0.144;-0.002586
0.145;-0.002807
0.146;-0.001212
0.147;-0.000495
0.148;-0.000139
0.149;0.000778
0.15;0.004805
0.151;0.005418
0.152;4.17E-05
0.153;-0.00045
0.154;0.002501
0.155;0.008028
0.156;0.000212
0.157;-0.000979
0.158;0.000533
0.159;0.006819
0.16;0.000858
0.161;-0.002105
0.162;-0.00744
0.163;-0.002235
0.164;0.000764
0.165;-0.00414
0.166;-0.001503
0.167;0.000684
0.168;0.000323
0.169;0.000679
0.17;0.003033
0.171;0.006304
0.172;0.007786
0.173;-0.000495
0.174;0.005369
0.175;0.00031
0.176;0.000302
0.177;0.001116
0.178;-0.000801
0.179;0.000278
0.18;-0.002576
0.181;-0.006126
0.182;-0.002205
0.183;-0.002696
0.184;0.003565
0.185;2.16E-05
0.186;-0.000817
0.187;-0.001483
0.188;0.000383
0.189;-4.86E-05
0.19;0.017871
0.191;0.002566
0.192;0.000713
0.193;-0.000785
0.194;-0.000249
0.195;0.002808
0.196;-6.68E-05
0.197;0.001744
0.198;0.000744
0.199;0.004467
0.2;0.000955
0.201;0.001599
0.202;0.010412
0.203;-0.002616
0.204;0.000552
0.205;0.000536
0.206;-0.004341
0.207;-0.000119
0.208;4.17E-05
0.209;0.000212
0.21;0.002405
0.211;0.007883
0.212;0.004531
0.213;0.003629
0.214;-0.001342
0.215;-0.003438
0.216;-9.24E-05
0.217;-0.000711
0.218;0.001196
0.219;0.001406
0.22;-0.0006
0.221;-0.000359
0.222;-0.001713
0.223;-0.002807
0.224;0.001567
0.225;-0.011161
0.226;0.000531
0.227;-0.002666
0.228;0.000729
0.229;-0.002415
0.23;0.010203
0.231;0.00292
0.232;0.002469
0.233;0.007383
0.234;0.015906
0.235;0.00437
0.236;-0.001392
0.237;0.003081
0.238;-0.00047
0.239;0.003017
0.24;0.001019
0.241;0.000964
0.242;0.000674
0.243;2.16E-05
0.244;0.000814
0.245;-0.000711
0.246;-0.001904
0.247;-0.000831
0.248;-0.001142
0.249;-0.000962
0.25;0.001277
0.251;0.005611
0.252;0.013473
0.253;0.008543
0.254;0.001454
0.255;0.004064
0.256;-0.000891
0.257;0.001567
0.258;0.000734
0.259;0.001438
0.26;-0.00056
0.261;0.000944
0.262;-0.001332
0.263;0.000162
0.264;-0.008533
0.265;-0.005424
0.266;0.00234
0.267;-0.002576
0.268;0.000455
0.269;-0.001413
0.27;0.001905
0.271;0.011089
0.272;0.002953
0.273;6.18E-05
0.274;0.008495
0.275;0.007431
0.276;0.009461
0.277;0.002856
0.278;0.000827
0.279;0.001744
0.28;-0.001583
0.281;0.001648
0.282;0.000413
0.283;-7.87E-05
0.284;-0.001232
0.285;-0.006166
0.286;-0.000981
0.287;-0.004431
0.288;0.000894
0.289;-0.001162
0.29;0.003661
0.291;0.005869
0.292;0.000583
0.293;0.000132
0.294;0.006739
0.295;-0.000737
0.296;1.26E-05
0.297;0.00139
0.298;-0.001262
0.299;0.001003
0.3;0.000102
0.301;-0.003469
0.302;-0.00093
0.303;-0.002997
0.304;-0.000147
0.305;0.000804
0.306;-0.000851
0.307;0.000232
0.308;-8.87E-05
0.309;-0.00045
0.31;0.000874
0.311;0.010589
0.312;0.006948
0.313;-0.002125
0.314;0.002727
0.315;0.014681
0.316;0.003404
0.317;-0.001884
0.318;0.00429
0.319;0.000824
0.32;0.002614
0.321;-0.002506
0.322;-0.000834
0.323;0.00089
0.324;0.009913
0.325;-0.00065
0.326;-0.005073
0.327;0.002002
0.328;-0.003248
0.329;-0.000399
0.33;-0.00055
0.331;0.009993
0.332;0.010525
0.333;0.005176
0.334;0.007383
0.335;-0.000221
0.336;3.17E-05
0.337;0.003065
0.338;0.001261
0.339;-0.000737
0.34;0.00429
0.341;-0.000109
0.342;-0.000901
0.343;0.000858
0.344;-0.00054
0.345;0.010799
0.346;-0.00411
0.347;0.001954
0.348;-0.001874
0.349;8.66E-05
0.35;-0.001282
0.351;0.007109
0.352;0.008849
0.353;0.003291
0.354;0.001293
0.355;0.008865
0.356;0.015116
0.357;-0.000961
0.358;0.004983
0.359;-0.000179
0.36;0.002614
0.361;0.002453
0.362;0.000133
0.363;-0.006247
0.364;0.000753
0.365;0.006191
0.366;0.003645
0.367;-0.002666
0.368;-0.000821
0.369;-0.000872
0.37;-0.000199
0.371;0.002373
0.372;0.001986
0.373;0.000413
0.374;0.012281
0.375;0.000864
0.376;0.000242
0.377;-0.000169
0.378;-0.000147
0.379;0.000198
0.38;0.000149
0.381;0.000573
0.382;-0.00071
0.383;-0.008032
0.384;-0.002556
0.385;-0.000991
0.386;-0.00407
0.387;-0.00061
0.388;-0.003278
0.389;-0.000656
0.39;-0.001774
0.391;0.003694
0.392;0.003049
0.393;0.0011
0.394;0.000101
0.395;0.012168
0.396;0.000761
0.397;-0.000721
0.398;0.005949
0.399;-0.000399
0.4;0.002501
0.401;-0.000495
0.402;-0.002536
0.403;-0.006036
0.404;-5.86E-05
0.405;0.000714
0.406;0.002646
0.407;-0.002255
0.408;-0.002536
0.409;-0.000771
0.41;-0.00064
0.411;-0.000834
0.412;-0.00056
0.413;0.008237
0.414;0.01568
0.415;-0.005775
0.416;0.000854
0.417;0.008398
0.418;0.001648
0.419;-0.000576
0.42;0.000161
0.421;0.005659
0.422;-0.003358
0.423;0.00524
0.424;2.16E-05
0.425;-0.003709
0.426;0.007158
0.427;-0.00405
0.428;-0.001824
0.429;-0.002355
0.43;0.000623
0.431;-0.000971
0.432;0.007818
0.433;-9.24E-05
0.434;-0.00747
0.435;0.001148
0.436;-0.000576
0.437;0.006916
0.438;-0.001192
0.439;0.001905
0.44;-0.000228
0.441;0.002534
0.442;0.00226
0.443;0.000513
0.444;0.006384
0.445;-0.00749
0.446;-0.000366
0.447;-0.000339
0.448;-0.002205
0.449;-8.45E-06
0.45;-0.000279
0.451;0.000262
0.452;0.004612
0.453;0.008108
0.454;0.00023
0.455;0.000294
0.456;0.000665
0.457;0.00147
0.458;-0.004702
0.459;0.002888
0.46;0.000503
0.461;0.001358
0.462;0.002501
0.463;0.003468
0.464;-0.002466
0.465;0.000122
0.466;-0.003378
0.467;-0.006337
0.468;-0.003689
0.469;-0.002857
0.47;-0.000872
0.471;-0.000961
0.472;0.002856
0.473;0.007125
0.474;-0.000872
0.475;0.010766
0.476;0.002614
0.477;0.001857
0.478;-0.00064
0.479;-0.00037
0.48;0.001438
0.481;-0.000737
0.482;0.000842
0.483;-0.003027
0.484;-0.001884
0.485;-0.001031
0.486;-0.00068
0.487;-0.013096
0.488;-0.003509
0.489;0.000373
0.49;-0.001372
0.491;-0.000495
0.492;-0.001463
0.493;0.008092
0.494;-0.00057
0.495;0.002808
0.496;0.000954
0.497;-0.001312
0.498;0.003726
0.499;-0.000761
