Time - Voltage_1;Amplitude - Voltage_1
0;3.22E-05
0.001;-0.001392
0.002;0.006323
0.003;-0.000476
0.004;0.005196
0.005;0.007709
0.006;0.002199
0.007;-7.92E-06
0.008;0.003133
0.009;0.004487
0.01;0.001103
0.011;-0.000427
0.012;-0.001643
0.013;-0.005524
0.014;-0.006777
0.015;0.011157
0.016;0.000765
0.017;-0.003769
0.018;-0.012374
0.019;-0.003578
0.02;-0.003618
0.021;0.001506
0.022;-0.000389
0.023;-0.002916
0.024;-0.001923
0.025;0.00302
0.026;0.008531
0.027;0.009014
0.028;0.010689
0.029;-0.000234
0.03;-0.000469
0.031;0.002988
0.032;-0.00084
0.033;-0.002134
0.034;-0.000339
0.035;-0.006045
0.036;-0.002425
0.037;-0.0008
0.038;-0.003628
0.039;-0.002936
0.04;-0.005363
0.041;0.001345
0.042;-0.000921
0.043;0.016441
0.044;0.006533
0.045;5.60E-05
0.046;-0.005263
0.047;-4.80E-05
0.048;0.024722
0.049;-0.001061
0.05;-8.41E-06
0.051;-0.00054
0.052;-0.001312
0.053;-0.001693
0.054;0.007242
0.055;-0.010348
0.056;0.000572
0.057;-0.01443
0.058;0.007725
0.059;-0.004561
0.06;0.000314
0.061;-0.003307
0.062;0.004406
0.063;0.005373
0.064;-0.002906
0.065;-0.002224
0.066;0.002859
0.067;0.004712
0.068;-0.009977
0.069;0.008079
0.07;-0.00072
0.071;0.000878
0.072;-0.00078
0.073;0.001458
0.074;0.012752
0.075;-0.002886
0.076;0.004535
0.077;-0.01096
0.078;-0.011952
0.079;-0.001161
0.08;-0.002445
0.081;5.60E-05
0.082;-0.00084
0.083;0.000636
0.084;0.003262
0.085;0.003407
0.086;-0.000315
0.087;-0.004601
0.088;-0.002896
0.089;0.003069
0.09;0.001844
0.091;0.001361
0.092;0.001893
0.093;-0.005073
0.094;-0.011
0.095;-0.00762
0.096;-0.002926
0.097;-0.003839
0.098;-0.010508
0.099;-0.002987
0.1;-0.003779
0.101;-0.000943
0.102;-0.003689
0.103;0.005969
0.104;0.006613
0.105;0.003214
0.106;0.005872
0.107;0.002747
0.108;-0.007108
0.109;3.99E-05
0.11;0.001055
0.111;0.001732
0.112;0.001232
0.113;-0.000921
0.114;-0.006035
0.115;-0.000524
0.116;-0.000379
0.117;-0.005544
0.118;-0.008011
0.119;-0.000309
0.12;-0.000209
0.121;-0.000975
0.122;-0.000379
0.123;0.001748
0.124;0.00526
0.125;-0.00073
0.126;0.005518
0.127;-0.000492
0.128;0.003794
0.129;-0.000782
0.13;-0.001121
0.131;-0.000605
0.132;0.005469
0.133;-0.00422
0.134;-0.003458
0.135;-0.005604
0.136;-0.001312
0.137;0.008579
0.138;-0.000158
0.139;-0.003027
0.14;-0.00432
0.141;-0.002305
0.142;5.60E-05
0.143;-0.000524
0.144;0.00323
0.145;-0.001923
0.146;-0.002666
0.147;-0.002515
0.148;0.002392
0.149;0.013267
0.15;3.22E-05
0.151;-0.000299
0.152;-0.000419
0.153;0.00157
0.154;-0.002636
0.155;-0.004511
0.156;-0.006838
0.157;-0.00421
0.158;0.011302
0.159;0.004599
0.16;-0.004932
0.161;-0.002204
0.162;-0.002966
0.163;-0.000379
0.164;-0.001131
0.165;0.001087
0.166;1.77E-05
0.167;-0.000931
0.168;0.006033
0.169;0.014782
0.17;0.003439
0.171;0.000878
0.172;-0.00025
0.173;0.00178
0.174;-0.004471
0.175;-0.002836
0.176;-0.007209
0.177;-0.003909
0.178;-0.005042
0.179;-0.005544
0.18;-0.005183
0.181;-0.00407
0.182;-0.001542
0.183;-0.003779
0.184;0.004841
