Time - Voltage_1;Amplitude - Voltage_1
0;-0.001488
0.001;0.005373
0.002;-0.001337
0.003;-0.001638
0.004;-0.002792
0.005;-0.002591
0.006;-0.002721
0.007;-0.002731
0.008;0.007661
0.009;-0.006833
0.01;-0.003333
0.011;-0.001809
0.012;-0.00214
0.013;-0.000762
0.014;0.006533
0.015;0.002296
0.016;0.001249
0.017;0.001442
0.018;0.002586
0.019;-0.001347
0.02;-0.003072
0.021;0.005631
0.022;-0.001297
0.023;-0.001699
0.024;-0.001929
0.025;-0.005379
0.026;0.000798
0.027;0.004358
0.028;-0.003373
0.029;-0.005279
0.03;-0.001277
0.031;-0.00238
0.032;-0.002782
0.033;0.000926
0.034;0.00489
0.035;0.008789
0.036;0.003859
0.037;0.004777
0.038;0.001442
0.039;-0.003383
0.04;-0.001528
0.041;-0.00227
0.042;0.00033
0.043;0.005373
0.044;0.006501
0.045;-0.004246
0.046;-0.00212
0.047;-0.003895
0.048;0.016022
0.049;-0.003434
0.05;-0.005078
0.051;-0.001027
0.052;-0.002501
0.053;0.000169
0.054;0.003843
0.055;-0.002461
0.056;0.003327
0.057;0.011237
0.058;0.003359
0.059;0.005921
0.06;-0.003965
0.061;0.002924
0.062;-0.001107
0.063;0.005792
0.064;0.000169
0.065;0.006549
0.066;0.001184
0.067;0.007838
0.068;0.003021
0.069;0.003939
0.07;-0.004607
0.071;-0.000664
0.072;-0.0021
0.073;0.000798
0.074;0.000459
0.075;0.008821
0.076;0.004809
0.077;0.01338
0.078;0.004149
0.079;-0.003644
0.08;0.003826
0.081;-0.00215
0.082;0.003037
0.083;-0.003403
0.084;0.006066
0.085;-0.003734
0.086;-0.000859
0.087;-0.002421
0.088;-0.001107
0.089;-0.00576
0.09;-0.004888
0.091;-0.001428
0.092;-0.001448
0.093;0.000975
0.094;0.005035
0.095;0.007967
0.096;0.001136
0.097;0.01475
0.098;-0.001668
0.099;-0.001388
0.1;0.001233
0.101;0.001442
0.102;0.002344
0.103;-0.0022
0.104;-0.002912
0.105;-0.00555
0.106;0.004938
0.107;-0.001368
0.108;-0.008639
0.109;-0.00221
0.11;0.000508
0.111;-0.001197
0.112;-0.001498
0.113;-0.001137
0.114;0.007709
0.115;0.008579
0.116;0.008547
0.117;0.002409
0.118;-0.001789
0.119;0.003053
0.12;-0.001829
0.121;0.00613
0.122;-0.001378
0.123;0.006968
0.124;0.004954
0.125;0.002956
0.126;-0.002972
0.127;-0.002742
0.128;-0.003243
0.129;0.005663
0.13;-0.003072
0.131;-0.001729
0.132;-0.001528
0.133;0.0017
0.134;0.000894
0.135;0.010641
0.136;0.007
0.137;0.009401
0.138;0.004004
0.139;0.006517
0.14;0.005309
0.141;0.001249
0.142;0.000781
0.143;0.003198
0.144;-0.001337
0.145;0.000798
0.146;-0.007265
0.147;-0.006783
0.148;-0.00554
0.149;-0.001939
0.15;-0.0023
0.151;-0.004456
0.152;-0.001428
0.153;0.000266
0.154;0.004696
0.155;0.001104
