Time - Voltage_1;Amplitude - Voltage_1
0;-0.001668
0.001;0.00083
0.002;-0.001829
0.003;0.001813
0.004;-0.002701
0.005;-0.003835
0.006;-0.001307
0.007;-0.001037
0.008;-0.008809
0.009;-0.002531
0.01;-0.001448
0.011;-0.001859
0.012;-0.0021
0.013;0.000443
0.014;0.007161
0.015;0.009594
0.016;0.001925
0.017;0.00352
0.018;-0.001488
0.019;0.007564
0.02;0.007854
0.021;0.000266
0.022;0.001329
0.023;-0.000469
0.024;-0.003795
0.025;0.003681
0.026;-0.008308
0.027;-0.001368
0.028;0.002505
0.029;-0.001588
0.03;0.010335
0.031;-0.004948
0.032;0.002554
0.033;-0.002461
0.034;0.004745
0.035;-0.001037
0.036;0.004439
0.037;0.003279
0.038;0.007516
0.039;-0.000957
0.04;0.003794
0.041;0.002924
0.042;0.000975
0.043;0.001023
0.044;0.000411
0.045;-0.004497
0.046;-0.006262
0.047;0.002763
0.048;-0.003303
0.049;0.010545
0.05;-0.004015
0.051;-0.003363
0.052;0.000185
0.053;-0.00216
0.054;0.014943
0.055;0.006436
0.056;-0.001398
0.057;-0.001508
0.058;-0.001037
0.059;0.005969
0.06;-0.002601
0.061;-0.001077
0.062;0.001555
0.063;0.000459
0.064;-0.002892
0.065;0.003987
0.066;-0.003484
0.067;-0.001648
0.068;-0.004236
0.069;0.002022
0.07;0.007951
0.071;-0.002752
0.072;0.000201
0.073;0.002054
0.074;0.008047
0.075;0.006146
0.076;-0.00206
0.077;-0.002481
0.078;0.00294
0.079;0.002231
0.08;0.002844
0.081;0.002731
0.082;0.000653
0.083;0.004986
0.084;-0.005961
0.085;-0.00571
0.086;0.006436
0.087;0.002618
0.088;0.003053
0.089;0.001313
0.09;-0.004105
0.091;-0.002401
0.092;0.000801
0.093;0.000121
0.094;0.010867
0.095;-0.001317
0.096;0.01156
0.097;-0.003413
0.098;-0.002822
0.099;-0.006693
0.1;2.42E-05
0.101;0.002006
0.102;0.001378
0.103;0.004696
0.104;-0.002731
0.105;-0.005981
0.106;-0.00912
0.107;-0.001859
0.108;0.001233
0.109;-0.003694
0.11;-0.004136
0.111;-0.001458
0.112;-0.00221
0.113;0.001958
0.114;0.004455
0.115;0.00779
0.116;0.006549
0.117;0.001925
0.118;0.002844
0.119;-0.00208
0.12;-0.001699
0.121;0.001813
0.122;0.000153
0.123;0.002811
0.124;-0.002782
0.125;-0.001969
0.126;0.000395
0.127;0.010657
0.128;0.000185
0.129;-0.001729
0.13;-0.00552
0.131;0.002231
0.132;-0.001157
0.133;0.002409
0.134;0.010077
0.135;0.007387
0.136;0.000801
0.137;0.004342
0.138;0.001055
0.139;0.000443
0.14;0.004954
0.141;0.002038
0.142;0.001233
0.143;0.007049
0.144;-0.003855
0.145;-0.001117
0.146;-0.003544
0.147;-0.000957
0.148;0.004841
0.149;0.006291
0.15;-0.001147
0.151;-0.003383
0.152;-0.001237
0.153;-0.001468
0.154;0.006614
0.155;0.012849
0.156;-0.006272
0.157;-0.003363
0.158;0.002505
0.159;-0.006011
0.16;-0.001097
0.161;0.001748
0.162;0.001039
0.163;0.003359
0.164;-0.003464
0.165;-0.00228
0.166;-0.002621
0.167;-0.004787
0.168;0.001909
0.169;-0.006813
0.17;0.001635
0.171;-0.001127
0.172;-0.002019
0.173;0.002618
0.174;0.010077
0.175;-0.004306
0.176;-0.001598
0.177;0.01185
0.178;0.000959
0.179;0.000653
0.18;0.004132
0.181;0.000459
0.182;0.001152
0.183;0.001651
0.184;-0.00232
0.185;-0.00219
0.186;-0.001839
0.187;-0.001618
0.188;-0.00205
0.189;-0.007395
0.19;-0.009822
0.191;-0.001127
0.192;-0.002802
0.193;0.001764
0.194;0.006001
0.195;0.003665
0.196;-0.00212
0.197;-0.001859
0.198;-0.001428
0.199;-0.005339
0.2;0.005566
0.201;0.000117
0.202;0.001877
0.203;0.000234
0.204;-0.00223
