Time - Voltage_1;Amplitude - Voltage_1
0;0.001974
0.001;-0.006312
0.002;-0.007014
0.003;-0.002912
0.004;-0.001799
0.005;-0.001257
0.006;1.94E-05
0.007;0.006162
0.008;-0.004286
0.009;0.002731
0.01;-0.001799
0.011;-0.001779
0.012;-0.001147
0.013;-0.00226
0.014;0.000379
0.015;0.001233
0.016;0.00547
0.017;0.000862
0.018;0.000898
0.019;-0.003173
0.02;0.003859
0.021;-0.003082
0.022;0.000282
0.023;-0.005911
0.024;-0.001017
0.025;-0.002972
0.026;0.0041
0.027;0.012043
0.028;0.004809
0.029;0.00982
0.03;-0.005018
0.031;0.004036
0.032;0.001055
0.033;0.001168
0.034;0.003569
0.035;-0.001598
0.036;0.006162
0.037;2.42E-05
0.038;-0.004547
0.039;-0.005038
0.04;-0.004557
0.041;0.001184
0.042;-0.004115
0.043;-0.003273
0.044;0.000636
0.045;-0.00221
0.046;0.001684
0.047;0.004342
0.048;0.013026
0.049;0.004857
0.05;0.001925
0.051;-0.001458
0.052;0.002554
0.053;0.000282
0.054;0.000475
0.055;0.002135
0.056;0.000862
0.057;-0.00561
0.058;-0.003303
0.059;-0.00905
0.06;-0.002832
0.061;-0.00233
0.062;-0.001087
0.063;0.001861
0.064;-0.002762
0.065;0.000201
0.066;0.000314
0.067;0.007177
0.068;0.002393
0.069;-0.001057
0.07;0.00613
0.071;0.001555
0.072;0.00982
0.073;0.007596
0.074;0.002586
0.075;0.001925
0.076;0.004519
0.077;0.001055
0.078;-0.004657
0.079;-0.001578
0.08;0.000959
0.081;-0.003955
0.082;0.004696
0.083;-0.006131
0.084;-0.002421
0.085;-0.001799
0.086;0.006162
0.087;0.011527
0.088;0.012446
0.089;0.008998
0.09;-0.002691
0.091;0.002215
0.092;-0.001909
0.093;0.004712
0.094;0.000459
0.095;0.00294
0.096;0.001216
0.097;0.001071
0.098;0.005228
0.099;-0.001057
0.1;-0.001017
0.101;0.003263
0.102;0.00083
0.103;0.000898
0.104;-0.002531
0.105;-0.0023
0.106;0.005067
0.107;0.007177
0.108;0.003424
0.109;0.007081
0.11;-0.004406
0.111;-0.006914
0.112;-0.008949
0.113;0.010045
0.114;-0.002681
0.115;0.003681
0.116;0.001313
0.117;0.008466
0.118;0.000282
0.119;-0.002822
0.12;-0.003604
0.121;-0.003875
0.122;0.000846
0.123;2.42E-05
0.124;-0.001688
0.125;-0.001287
0.126;0.001216
0.127;0.008627
0.128;-0.002401
0.129;0.002779
0.13;0.010045
0.131;0.001651
0.132;-0.002401
0.133;0.001265
0.134;0.001442
0.135;0.00083
0.136;0.004439
0.137;-0.004888
0.138;0.008724
0.139;0.001329
0.14;-0.00213
0.141;-0.001558
0.142;-0.003363
0.143;-0.004497
0.144;-0.001498
0.145;-0.001658
0.146;0.000926
0.147;0.004181
0.148;0.002199
0.149;0.006436
0.15;0.001039
0.151;0.004116
0.152;0.007145
0.153;-0.001157
0.154;0.002747
0.155;-0.001317
0.156;0.001265
0.157;-0.001157
0.158;-0.003524
0.159;0.004729
0.16;-0.002812
0.161;0.010126
0.162;0.007322
0.163;-0.00225
0.164;-0.002832
0.165;-0.00238
0.166;0.003456
0.167;0.007951
0.168;0.009256
0.169;0.002715
0.17;-0.002431
0.171;0.014057
0.172;0.003005
0.173;0.003375
0.174;0.000814
0.175;0.002103
0.176;0.003649
0.177;0.003681
0.178;-0.002441
0.179;0.001104
0.18;-0.006141
0.181;-0.003343
0.182;-0.005189
0.183;-0.004918
0.184;-0.002742
0.185;-0.002501
0.186;0.001829
0.187;0.014476
0.188;0.000508
0.189;0.012542
0.19;0.004503
0.191;0.002086
0.192;0.001152
0.193;0.003327
0.194;0.000234
0.195;0.003971
0.196;5.64E-05
0.197;-0.0056
0.198;-0.003434
0.199;-0.006883
0.2;-0.003243
0.201;-0.008849
0.202;-0.00237
0.203;-0.003403
0.204;-0.00213
0.205;-0.003554
0.206;0.002634
0.207;0.013541
0.208;0.004229
0.209;0.003746
0.21;0.004197
0.211;-0.001327
0.212;-0.003754
0.213;-0.002862
0.214;0.002634
0.215;0.000427
0.216;0.001088
0.217;-0.007194
0.218;0.00141
0.219;0.013445
0.22;-0.004727
0.221;-0.007706
0.222;-0.003544
0.223;-0.002701
0.224;-0.004226
0.225;-0.001709
0.226;0.001104
0.227;0.01744
0.228;0.002199
0.229;0.004696
0.23;0.004712
0.231;0.00642
0.232;0.001007
0.233;-0.001989
0.234;0.000894
0.235;0.002376
0.236;0.002199
0.237;-0.003554
0.238;0.009562
0.239;0.00178
0.24;-0.005911
0.241;-0.001187
0.242;-0.006382
0.243;-0.004607
0.244;-0.001047
0.245;-0.001949
0.246;0.002634
0.247;0.001829
0.248;0.012655
0.249;-0.002742
0.25;0.004664
0.251;0.00961
0.252;0.000508
0.253;0.007371
0.254;0.000669
0.255;0.001748
0.256;0.002151
0.257;-0.005409
0.258;-0.001648
0.259;-0.00924
0.26;0.008015
0.261;-0.001969
0.262;-0.005459
0.263;-0.001598
0.264;-0.001709
0.265;-0.0023
0.266;0.003214
0.267;0.014975
0.268;0.005051
0.269;0.00041
0.27;0.013638
0.271;0.004551
0.272;0.006324
0.273;0.005196
0.274;-0.005108
0.275;0.00518
0.276;-0.003333
0.277;-0.003664
0.278;-0.003223
0.279;0.003971
0.28;-0.000957
0.281;-0.006623
0.282;-0.001017
0.283;-0.00564
0.284;-0.000762
0.285;-0.002651
0.286;0.000204
0.287;0.002634
0.288;0.004294
0.289;-0.001167
0.29;-0.002762
0.291;0.004954
0.292;-0.001337
0.293;0.000312
0.294;0.000653
0.295;0.000604
0.296;-0.001017
0.297;-0.00574
0.298;0.000926
0.299;0.002264
0.3;0.003408
0.301;-0.004838
0.302;-0.003604
0.303;-0.001177
0.304;-0.003373
0.305;-0.00216
0.306;0.000411
0.307;0.009481
0.308;0.009336
0.309;-0.00232
0.31;0.000153
0.311;0.006436
0.312;-0.003093
0.313;0.003665
0.314;-0.002611
0.315;0.003263
0.316;-0.001578
0.317;-0.004777
0.318;0.000475
0.319;0.000201
0.32;0.005212
